pH,TDS,Turbidity,MP_Count,pH_cat,TDS_cat,Turbidity_cat,MP_cat,Risk
7.7,260.9,0.2,3,Good,Good,Good,Moderate,Low
10.0,614.3,1.4,8,Poor,Poor,Moderate,Poor,High
8.3,452.1,4.6,19,Moderate,Poor,Moderate,Poor,High
7.4,253.5,1.3,0,Good,Good,Moderate,Good,Low
6.5,210.9,0.8,0,Moderate,Good,Good,Good,Low
7.5,248.5,4.7,0,Good,Good,Moderate,Good,Low
7.8,230.2,0.5,0,Good,Good,Good,Good,Low
8.9,745.4,3.5,27,Poor,Poor,Moderate,Poor,High
7.2,168.8,0.9,0,Good,Moderate,Good,Good,Low
4.9,347.6,0.8,18,Poor,Moderate,Good,Poor,High
6.7,274.1,2.6,5,Moderate,Moderate,Moderate,Moderate,Medium
7.4,350.0,2.0,2,Good,Moderate,Moderate,Moderate,Medium
8.1,168.6,2.9,1,Moderate,Moderate,Moderate,Moderate,Medium
9.6,595.5,4.9,13,Poor,Poor,Moderate,Poor,High
5.9,620.2,2.1,6,Poor,Poor,Moderate,Poor,High
5.5,701.5,11.6,14,Poor,Poor,Poor,Poor,High
7.6,272.5,2.4,2,Good,Moderate,Moderate,Moderate,Medium
9.7,599.4,3.2,3,Poor,Poor,Moderate,Moderate,High
7.3,208.2,2.9,0,Good,Good,Moderate,Good,Low
5.0,628.2,1.0,10,Poor,Poor,Moderate,Poor,High
7.1,210.4,0.7,1,Good,Good,Good,Moderate,Low
4.6,547.7,2.7,19,Poor,Poor,Moderate,Poor,High
8.1,279.5,0.9,3,Moderate,Moderate,Good,Moderate,Medium
7.8,203.8,0.8,2,Good,Good,Good,Moderate,Low
6.9,231.4,1.1,3,Moderate,Good,Moderate,Moderate,Medium
7.7,275.5,3.1,1,Good,Moderate,Moderate,Moderate,Medium
7.8,668.5,5.2,1,Good,Poor,Poor,Moderate,High
8.0,250.0,1.7,2,Moderate,Good,Moderate,Moderate,Medium
7.2,318.8,0.8,0,Good,Moderate,Good,Good,Low
7.7,248.7,4.0,0,Good,Good,Moderate,Good,Low
6.9,317.6,2.5,3,Moderate,Moderate,Moderate,Moderate,Medium
7.2,256.8,0.6,4,Good,Good,Good,Moderate,Low
8.4,213.3,2.6,1,Moderate,Good,Moderate,Moderate,Medium
7.5,208.6,0.5,3,Good,Good,Good,Moderate,Low
7.3,161.4,0.7,0,Good,Moderate,Good,Good,Low
9.9,452.4,13.9,13,Poor,Poor,Poor,Poor,High
7.1,500.0,4.4,12,Good,Poor,Moderate,Poor,High
5.3,417.1,14.8,22,Poor,Poor,Poor,Poor,High
5.1,537.9,11.5,3,Poor,Poor,Poor,Moderate,High
8.1,254.9,14.3,11,Moderate,Good,Poor,Poor,High
7.7,233.7,3.1,5,Good,Good,Moderate,Moderate,Medium
6.9,255.9,0.3,0,Moderate,Good,Good,Good,Low
8.9,557.9,8.6,0,Poor,Poor,Poor,Good,High
7.2,569.7,5.2,10,Good,Poor,Poor,Poor,High
7.4,271.0,2.0,2,Good,Moderate,Moderate,Moderate,Medium
7.4,258.5,3.9,0,Good,Good,Moderate,Good,Low
8.5,173.5,1.8,1,Moderate,Moderate,Moderate,Moderate,Medium
9.2,521.6,11.0,29,Poor,Poor,Poor,Poor,High
8.7,127.2,5.0,22,Poor,Poor,Poor,Poor,High
7.8,235.5,3.8,0,Good,Good,Moderate,Good,Low
6.6,345.9,6.9,20,Moderate,Moderate,Poor,Poor,High
6.6,233.1,0.5,1,Moderate,Good,Good,Moderate,Medium
6.3,375.8,3.8,17,Poor,Poor,Moderate,Poor,High
5.5,274.7,4.6,29,Poor,Moderate,Moderate,Poor,High
7.1,305.8,0.5,0,Good,Moderate,Good,Good,Low
7.8,312.5,0.8,2,Good,Moderate,Good,Moderate,Medium
9.3,258.3,12.8,28,Poor,Good,Poor,Poor,High
7.8,308.7,0.4,0,Good,Moderate,Good,Good,Low
7.5,171.5,12.6,16,Good,Moderate,Poor,Poor,High
7.2,268.4,2.3,2,Good,Good,Moderate,Moderate,Medium
8.5,753.8,2.7,2,Moderate,Poor,Moderate,Moderate,High
6.1,129.1,6.8,11,Poor,Poor,Poor,Poor,High
7.6,234.5,0.2,5,Good,Good,Good,Moderate,Low
8.0,174.0,2.6,1,Moderate,Moderate,Moderate,Moderate,Medium
8.4,164.0,3.6,2,Moderate,Moderate,Moderate,Moderate,Medium
9.9,80.1,13.0,8,Poor,Poor,Poor,Poor,High
7.8,233.5,1.8,0,Good,Good,Moderate,Good,Low
7.3,227.0,1.9,0,Good,Good,Moderate,Good,Low
7.6,310.3,3.6,3,Good,Moderate,Moderate,Moderate,Medium
8.1,154.8,4.4,1,Moderate,Moderate,Moderate,Moderate,Medium
7.7,210.5,0.2,1,Good,Good,Good,Moderate,Low
7.1,315.4,0.1,0,Good,Moderate,Good,Good,Low
7.2,224.1,3.1,4,Good,Good,Moderate,Moderate,Medium
8.7,99.7,0.7,5,Poor,Poor,Good,Moderate,High
7.0,284.4,3.2,3,Moderate,Moderate,Moderate,Moderate,Medium
6.6,749.4,1.1,13,Moderate,Poor,Moderate,Poor,High
8.1,229.5,4.1,0,Moderate,Good,Moderate,Good,Medium
6.4,449.2,1.9,29,Poor,Poor,Moderate,Poor,High
8.4,204.0,3.4,4,Moderate,Good,Moderate,Moderate,Medium
6.7,242.0,3.9,0,Moderate,Good,Moderate,Good,Medium
7.9,472.6,5.7,28,Moderate,Poor,Poor,Poor,High
7.5,681.5,7.8,5,Good,Poor,Poor,Moderate,High
7.6,178.9,0.3,0,Good,Moderate,Good,Good,Low
6.7,325.4,0.4,0,Moderate,Moderate,Good,Good,Medium
9.9,418.1,10.8,29,Poor,Poor,Poor,Poor,High
8.3,238.3,2.7,2,Moderate,Good,Moderate,Moderate,Medium
7.0,447.8,0.3,28,Moderate,Poor,Good,Poor,High
7.5,310.3,4.5,2,Good,Moderate,Moderate,Moderate,Medium
6.0,233.0,14.6,12,Poor,Good,Poor,Poor,High
7.5,217.9,2.9,0,Good,Good,Moderate,Good,Low
7.1,268.1,2.8,0,Good,Good,Moderate,Good,Low
7.4,258.3,0.2,3,Good,Good,Good,Moderate,Low
7.3,606.3,10.5,24,Good,Poor,Poor,Poor,High
7.0,172.7,11.9,28,Moderate,Moderate,Poor,Poor,High
7.3,239.8,2.2,0,Good,Good,Moderate,Good,Low
7.6,343.3,7.5,16,Good,Moderate,Poor,Poor,High
7.2,215.7,2.9,0,Good,Good,Moderate,Good,Low
6.5,390.7,8.2,9,Moderate,Poor,Poor,Poor,High
7.2,208.3,1.7,0,Good,Good,Moderate,Good,Low
6.9,290.6,1.6,1,Moderate,Moderate,Moderate,Moderate,Medium
6.8,197.1,4.7,3,Moderate,Moderate,Moderate,Moderate,Medium
6.6,233.2,0.2,1,Moderate,Good,Good,Moderate,Medium
7.8,426.7,8.1,28,Good,Poor,Poor,Poor,High
6.3,220.0,5.3,3,Poor,Good,Poor,Moderate,High
6.8,616.7,3.4,6,Moderate,Poor,Moderate,Poor,High
8.8,531.5,1.3,7,Poor,Poor,Moderate,Poor,High
7.8,243.6,0.6,3,Good,Good,Good,Moderate,Low
8.4,263.8,0.3,0,Moderate,Good,Good,Good,Low
7.7,216.7,1.5,0,Good,Good,Moderate,Good,Low
5.6,409.4,2.9,13,Poor,Poor,Moderate,Poor,High
7.5,231.7,3.7,0,Good,Good,Moderate,Good,Low
7.3,158.7,0.4,0,Good,Moderate,Good,Good,Low
8.1,329.2,3.9,3,Moderate,Moderate,Moderate,Moderate,Medium
7.6,236.0,3.6,0,Good,Good,Moderate,Good,Low
7.6,219.3,0.7,1,Good,Good,Good,Moderate,Low
7.3,233.9,0.0,0,Good,Good,Good,Good,Low
7.1,241.8,0.4,0,Good,Good,Good,Good,Low
7.6,255.1,0.8,2,Good,Good,Good,Moderate,Low
8.0,295.5,3.4,0,Moderate,Moderate,Moderate,Good,Medium
8.1,233.3,0.4,0,Moderate,Good,Good,Good,Low
8.4,228.5,2.1,5,Moderate,Good,Moderate,Moderate,Medium
7.5,563.0,9.2,15,Good,Poor,Poor,Poor,High
6.8,309.5,0.9,1,Moderate,Moderate,Good,Moderate,Medium
7.9,268.1,1.0,4,Moderate,Good,Moderate,Moderate,Medium
7.6,259.6,3.6,0,Good,Good,Moderate,Good,Low
7.2,232.0,3.1,0,Good,Good,Moderate,Good,Low
7.6,241.2,0.4,2,Good,Good,Good,Moderate,Low
7.0,277.9,0.4,4,Moderate,Moderate,Good,Moderate,Medium
6.9,208.1,4.6,3,Moderate,Good,Moderate,Moderate,Medium
4.8,174.7,11.1,18,Poor,Moderate,Poor,Poor,High
7.5,220.1,3.5,0,Good,Good,Moderate,Good,Low
7.4,308.2,2.2,0,Good,Moderate,Moderate,Good,Medium
7.6,233.6,0.8,1,Good,Good,Good,Moderate,Low
7.1,323.8,2.8,0,Good,Moderate,Moderate,Good,Medium
7.8,637.9,7.2,8,Good,Poor,Poor,Poor,High
7.6,288.9,1.2,3,Good,Moderate,Moderate,Moderate,Medium
8.0,253.9,3.4,4,Moderate,Good,Moderate,Moderate,Medium
7.3,341.3,0.1,0,Good,Moderate,Good,Good,Low
6.6,267.0,0.7,0,Moderate,Good,Good,Good,Low
6.2,635.4,4.2,25,Poor,Poor,Moderate,Poor,High
7.6,181.1,1.8,2,Good,Moderate,Moderate,Moderate,Medium
6.5,289.8,2.4,3,Moderate,Moderate,Moderate,Moderate,Medium
7.3,319.7,0.3,0,Good,Moderate,Good,Good,Low
7.2,210.9,4.2,0,Good,Good,Moderate,Good,Low
7.8,195.9,2.1,4,Good,Moderate,Moderate,Moderate,Medium
8.3,389.0,10.7,18,Moderate,Poor,Poor,Poor,High
7.2,188.1,0.8,0,Good,Moderate,Good,Good,Low
7.2,302.0,3.6,4,Good,Moderate,Moderate,Moderate,Medium
5.5,396.6,0.0,6,Poor,Poor,Good,Poor,High
5.1,547.6,0.1,13,Poor,Poor,Good,Poor,High
6.0,732.8,0.7,14,Poor,Poor,Good,Poor,High
8.2,245.1,0.4,0,Moderate,Good,Good,Good,Low
7.5,150.0,3.1,1,Good,Moderate,Moderate,Moderate,Medium
7.5,255.2,0.3,0,Good,Good,Good,Good,Low
7.2,232.2,0.5,4,Good,Good,Good,Moderate,Low
7.3,287.2,0.7,0,Good,Moderate,Good,Good,Low
5.2,722.2,8.9,8,Poor,Poor,Poor,Poor,High
7.5,251.2,4.5,0,Good,Good,Moderate,Good,Low
7.4,204.5,0.7,4,Good,Good,Good,Moderate,Low
7.1,218.0,2.4,0,Good,Good,Moderate,Good,Low
7.7,204.5,2.4,0,Good,Good,Moderate,Good,Low
8.3,312.2,2.8,2,Moderate,Moderate,Moderate,Moderate,Medium
6.4,310.2,11.1,16,Poor,Moderate,Poor,Poor,High
6.6,254.9,3.6,4,Moderate,Good,Moderate,Moderate,Medium
8.4,625.8,1.3,29,Moderate,Poor,Moderate,Poor,High
7.8,205.2,0.5,2,Good,Good,Good,Moderate,Low
6.1,493.1,0.5,19,Poor,Poor,Good,Poor,High
7.6,210.3,2.1,0,Good,Good,Moderate,Good,Low
7.7,174.4,1.2,5,Good,Moderate,Moderate,Moderate,Medium
7.1,254.9,0.5,2,Good,Good,Good,Moderate,Low
7.7,700.3,8.4,11,Good,Poor,Poor,Poor,High
7.8,301.4,0.8,0,Good,Moderate,Good,Good,Low
7.9,160.7,3.2,3,Moderate,Moderate,Moderate,Moderate,Medium
7.1,223.9,0.5,3,Good,Good,Good,Moderate,Low
7.9,222.5,0.8,3,Moderate,Good,Good,Moderate,Medium
7.1,257.0,2.9,0,Good,Good,Moderate,Good,Low
6.7,228.9,0.7,0,Moderate,Good,Good,Good,Low
6.8,246.3,3.4,3,Moderate,Good,Moderate,Moderate,Medium
6.9,593.9,7.3,1,Moderate,Poor,Poor,Moderate,High
8.5,265.9,0.8,4,Moderate,Good,Good,Moderate,Medium
7.4,230.0,1.0,2,Good,Good,Moderate,Moderate,Medium
7.4,250.9,0.5,0,Good,Good,Good,Good,Low
8.9,543.8,12.8,26,Poor,Poor,Poor,Poor,High
7.6,63.8,7.2,27,Good,Poor,Poor,Poor,High
7.4,200.0,2.0,2,Good,Good,Moderate,Moderate,Medium
7.4,283.5,1.1,5,Good,Moderate,Moderate,Moderate,Medium
8.2,221.4,3.1,5,Moderate,Good,Moderate,Moderate,Medium
4.5,664.0,1.9,18,Poor,Poor,Moderate,Poor,High
9.4,232.6,13.9,14,Poor,Good,Poor,Poor,High
7.7,249.7,0.0,1,Good,Good,Good,Moderate,Low
6.4,335.1,6.0,4,Poor,Moderate,Poor,Moderate,High
7.0,312.6,3.8,4,Moderate,Moderate,Moderate,Moderate,Medium
7.7,334.5,0.5,0,Good,Moderate,Good,Good,Low
8.2,261.2,2.4,2,Moderate,Good,Moderate,Moderate,Medium
7.1,174.0,1.0,2,Good,Moderate,Moderate,Moderate,Medium
8.1,200.6,1.6,4,Moderate,Good,Moderate,Moderate,Medium
4.6,186.1,8.7,27,Poor,Moderate,Poor,Poor,High
6.7,266.2,0.0,0,Moderate,Good,Good,Good,Low
6.6,207.7,0.1,3,Moderate,Good,Good,Moderate,Medium
7.8,242.3,0.1,0,Good,Good,Good,Good,Low
6.6,323.5,4.3,5,Moderate,Moderate,Moderate,Moderate,Medium
8.3,253.1,3.9,0,Moderate,Good,Moderate,Good,Medium
6.8,271.3,0.5,3,Moderate,Moderate,Good,Moderate,Medium
7.1,231.3,0.7,0,Good,Good,Good,Good,Low
9.8,585.9,0.6,23,Poor,Poor,Good,Poor,High
7.1,217.2,4.1,0,Good,Good,Moderate,Good,Low
7.2,100.4,6.1,5,Good,Poor,Poor,Moderate,High
7.6,404.9,4.7,14,Good,Poor,Moderate,Poor,High
8.6,230.0,2.0,2,Poor,Good,Moderate,Moderate,High
7.7,276.2,2.8,0,Good,Moderate,Moderate,Good,Medium
7.4,230.0,5.0,2,Good,Good,Poor,Moderate,High
7.0,271.0,0.6,5,Moderate,Moderate,Good,Moderate,Medium
7.7,157.0,4.5,3,Good,Moderate,Moderate,Moderate,Medium
8.2,248.2,3.5,0,Moderate,Good,Moderate,Good,Medium
9.0,769.3,5.1,5,Poor,Poor,Poor,Moderate,High
6.6,450.7,7.4,24,Moderate,Poor,Poor,Poor,High
8.3,165.8,0.6,1,Moderate,Moderate,Good,Moderate,Medium
7.0,299.4,1.4,3,Moderate,Moderate,Moderate,Moderate,Medium
6.0,654.7,11.2,28,Poor,Poor,Poor,Poor,High
8.1,168.1,4.6,0,Moderate,Moderate,Moderate,Good,Medium
7.8,201.3,3.5,0,Good,Good,Moderate,Good,Low
7.8,246.2,3.9,0,Good,Good,Moderate,Good,Low
7.4,262.6,0.1,5,Good,Good,Good,Moderate,Low
7.0,256.9,3.4,4,Moderate,Good,Moderate,Moderate,Medium
8.1,569.9,0.8,25,Moderate,Poor,Good,Poor,High
6.9,291.2,0.2,3,Moderate,Moderate,Good,Moderate,Medium
6.3,402.6,11.2,28,Poor,Poor,Poor,Poor,High
7.2,213.1,2.0,0,Good,Good,Moderate,Good,Low
6.1,170.9,13.9,12,Poor,Moderate,Poor,Poor,High
7.8,288.7,2.8,3,Good,Moderate,Moderate,Moderate,Medium
5.8,724.7,5.8,13,Poor,Poor,Poor,Poor,High
7.5,255.4,0.5,1,Good,Good,Good,Moderate,Low
7.9,225.6,1.6,4,Moderate,Good,Moderate,Moderate,Medium
7.0,176.0,2.9,3,Moderate,Moderate,Moderate,Moderate,Medium
6.9,154.3,0.5,0,Moderate,Moderate,Good,Good,Medium
7.5,348.8,2.5,1,Good,Moderate,Moderate,Moderate,Medium
6.7,244.4,1.5,2,Moderate,Good,Moderate,Moderate,Medium
7.2,688.1,1.3,29,Good,Poor,Moderate,Poor,High
7.4,275.2,3.9,5,Good,Moderate,Moderate,Moderate,Medium
6.7,243.1,0.1,1,Moderate,Good,Good,Moderate,Medium
7.3,246.9,0.3,2,Good,Good,Good,Moderate,Low
8.4,240.3,0.8,0,Moderate,Good,Good,Good,Low
7.6,211.8,0.1,2,Good,Good,Good,Moderate,Low
7.0,182.5,4.6,2,Moderate,Moderate,Moderate,Moderate,Medium
7.4,627.5,3.2,4,Good,Poor,Moderate,Moderate,High
7.9,256.9,4.5,0,Moderate,Good,Moderate,Good,Medium
5.7,583.4,12.1,19,Poor,Poor,Poor,Poor,High
7.6,203.0,0.7,3,Good,Good,Good,Moderate,Low
7.4,689.1,8.3,4,Good,Poor,Poor,Moderate,High
7.7,203.1,2.5,0,Good,Good,Moderate,Good,Low
7.6,224.8,0.6,3,Good,Good,Good,Moderate,Low
6.6,266.2,3.4,2,Moderate,Good,Moderate,Moderate,Medium
8.4,231.2,0.6,0,Moderate,Good,Good,Good,Low
7.5,182.2,3.9,5,Good,Moderate,Moderate,Moderate,Medium
7.2,248.1,0.5,2,Good,Good,Good,Moderate,Low
7.8,230.0,2.0,2,Good,Good,Moderate,Moderate,Medium
7.6,236.9,0.1,5,Good,Good,Good,Moderate,Low
9.3,315.6,6.0,24,Poor,Moderate,Poor,Poor,High
7.8,219.1,3.2,0,Good,Good,Moderate,Good,Low
7.5,267.9,0.8,5,Good,Good,Good,Moderate,Low
7.8,218.4,0.1,5,Good,Good,Good,Moderate,Low
6.9,220.1,4.8,5,Moderate,Good,Moderate,Moderate,Medium
8.2,173.0,0.5,1,Moderate,Moderate,Good,Moderate,Medium
4.9,450.7,13.2,29,Poor,Poor,Poor,Poor,High
7.3,247.6,3.6,0,Good,Good,Moderate,Good,Low
7.1,281.6,0.9,0,Good,Moderate,Good,Good,Low
8.0,348.2,4.1,2,Moderate,Moderate,Moderate,Moderate,Medium
8.3,188.7,2.1,0,Moderate,Moderate,Moderate,Good,Medium
7.8,279.3,0.0,0,Good,Moderate,Good,Good,Low
8.4,208.8,4.4,3,Moderate,Good,Moderate,Moderate,Medium
7.1,220.5,2.1,0,Good,Good,Moderate,Good,Low
8.2,347.7,2.0,3,Moderate,Moderate,Moderate,Moderate,Medium
7.4,203.8,1.3,0,Good,Good,Moderate,Good,Low
8.2,169.6,4.5,0,Moderate,Moderate,Moderate,Good,Medium
7.4,380.6,6.0,5,Good,Poor,Poor,Moderate,High
7.8,245.7,0.4,4,Good,Good,Good,Moderate,Low
7.3,240.9,2.6,0,Good,Good,Moderate,Good,Low
7.1,177.2,2.7,1,Good,Moderate,Moderate,Moderate,Medium
6.9,342.7,2.6,3,Moderate,Moderate,Moderate,Moderate,Medium
8.7,134.8,11.9,3,Poor,Poor,Poor,Moderate,High
7.5,263.5,0.1,2,Good,Good,Good,Moderate,Low
7.8,267.5,0.4,1,Good,Good,Good,Moderate,Low
9.7,537.2,9.1,12,Poor,Poor,Poor,Poor,High
8.4,348.2,3.1,2,Moderate,Moderate,Moderate,Moderate,Medium
7.7,701.2,3.1,28,Good,Poor,Moderate,Poor,High
9.0,110.1,13.4,3,Poor,Poor,Poor,Moderate,High
9.5,524.8,5.1,2,Poor,Poor,Poor,Moderate,High
7.1,202.1,0.2,3,Good,Good,Good,Moderate,Low
7.8,232.4,0.7,3,Good,Good,Good,Moderate,Low
10.0,180.4,5.9,17,Poor,Moderate,Poor,Poor,High
7.2,151.5,0.5,1,Good,Moderate,Good,Moderate,Medium
7.5,367.6,8.5,2,Good,Poor,Poor,Moderate,High
7.7,292.2,4.7,0,Good,Moderate,Moderate,Good,Medium
7.2,155.0,2.8,5,Good,Moderate,Moderate,Moderate,Medium
8.0,69.9,8.8,26,Moderate,Poor,Poor,Poor,High
7.6,240.2,4.7,0,Good,Good,Moderate,Good,Low
7.3,162.7,0.3,0,Good,Moderate,Good,Good,Low
7.6,250.3,3.2,0,Good,Good,Moderate,Good,Low
9.1,204.8,0.2,20,Poor,Good,Good,Poor,High
