pH,TDS,Turbidity,MP_Count,Risk
7.0,207,6.63,0,High
8.22,280,0.79,4,Medium
7.24,242,0.86,2,Low
7.11,246,0.89,4,Low
7.11,218,0.85,3,Low
7.23,208,0.5,0,Low
5.8,741,0.5,21,High
1.32,104,18.55,34,High
7.2,337,3.13,4,Medium
7.54,98,0.46,17,High
7.3,201,0.66,3,Low
7.34,264,0.16,3,Low
6.7,233,2.86,0,Medium
7.6,614,0.37,50,High
7.78,211,0.13,4,Low
7.42,209,0.61,3,Low
7.44,208,0.62,1,Low
7.0,68,11.45,17,High
11.29,525,8.74,0,High
7.3,203,0.82,23,High
7.1,211,2.78,5,Medium
7.18,223,0.55,3,Low
7.25,237,0.04,0,Low
7.14,209,0.21,3,Low
7.15,264,0.42,2,Low
7.77,227,0.75,0,Low
8.05,151,1.23,1,Medium
7.49,254,0.23,3,Low
7.6,305,3.53,0,Medium
7.18,247,0.49,4,Low
1.86,120,7.56,38,High
7.78,259,0.76,3,Low
8.17,161,0.37,7,Medium
8.07,228,3.8,7,Medium
8.1,162,0.42,3,Medium
7.17,188,2.0,7,Medium
7.0,608,0.09,36,High
6.75,196,2.21,4,Medium
7.72,240,0.17,4,Low
8.42,246,1.84,1,Medium
6.61,300,0.21,5,Medium
8.12,236,4.8,6,Medium
8.9,374,0.43,3,High
7.65,205,0.47,2,Low
12.0,67,18.38,28,High
7.22,209,17.93,0,High
9.26,555,19.42,44,High
7.59,262,0.14,4,Low
7.0,248,17.62,0,High
8.39,318,0.01,6,Medium
8.44,274,4.28,4,Medium
7.35,164,2.15,4,Medium
7.17,349,0.38,5,Medium
7.22,284,0.62,7,Medium
7.0,924,11.69,44,High
7.17,216,0.13,2,Low
7.7,256,0.07,0,Low
6.17,141,11.3,10,High
7.42,128,0.05,4,High
7.68,252,4.68,7,Medium
7.0,56,0.31,0,High
8.07,232,0.09,7,Medium
9.35,115,0.65,3,High
7.76,216,0.41,1,Low
6.78,273,0.81,6,Medium
7.0,643,0.42,21,High
6.57,196,4.06,2,Medium
4.28,211,11.93,30,High
8.4,201,1.32,6,Medium
7.98,286,4.78,1,Medium
7.18,93,16.94,50,High
7.41,288,2.24,5,Medium
12.03,215,0.28,12,High
7.19,184,3.48,3,Medium
6.6,166,4.85,1,Medium
7.56,151,1.2,7,Medium
7.53,222,2.5,5,Medium
7.67,262,0.19,0,Low
7.56,237,0.82,3,Low
7.31,112,10.62,1,High
6.81,306,0.18,4,Medium
4.39,526,5.96,2,High
12.47,786,9.39,19,High
7.53,202,0.61,2,Low
7.54,126,0.79,35,High
7.0,441,15.47,9,High
7.39,165,0.89,7,Medium
7.17,156,3.34,5,Medium
6.62,217,0.22,7,Medium
6.61,280,2.63,1,Medium
4.19,207,14.6,1,High
7.61,317,1.75,5,Medium
7.8,202,2.68,6,Medium
4.74,235,0.49,3,High
7.12,995,0.76,0,High
7.54,220,0.72,3,Low
7.63,236,7.11,1,High
1.83,520,0.7,48,High
7.11,204,0.02,15,High
7.72,254,0.59,3,Low
7.29,253,0.57,1,Low
8.43,346,0.3,6,Medium
6.88,235,3.97,1,Medium
7.54,204,0.22,0,Low
7.16,254,0.24,4,Low
7.6,250,0.78,1,Low
7.59,200,0.13,1,Low
8.1,154,0.88,3,Medium
1.56,81,17.96,32,High
7.23,200,0.1,3,Low
7.39,286,0.41,5,Medium
7.12,222,12.43,2,High
7.56,219,11.15,0,High
7.75,251,0.06,2,Low
7.4,214,15.89,37,High
6.68,252,4.74,6,Medium
7.18,200,0.68,42,High
7.6,917,0.51,0,High
12.91,239,0.18,2,High
6.84,164,0.54,4,Medium
7.35,319,1.43,7,Medium
7.43,253,8.73,13,High
7.48,259,3.8,5,Medium
7.0,645,0.43,17,High
2.01,270,12.88,4,High
7.27,188,3.36,5,Medium
5.24,263,16.37,32,High
7.16,335,0.23,7,Medium
2.86,85,0.23,45,High
7.76,228,0.84,4,Low
7.42,136,0.49,0,High
9.57,100,0.01,2,High
7.2,242,0.17,3,Low
7.43,268,0.74,0,Low
7.66,318,2.05,3,Medium
6.78,309,0.44,7,Medium
8.79,239,12.4,31,High
7.53,53,12.42,3,High
9.1,825,7.06,45,High
7.31,203,9.94,3,High
7.78,310,4.09,7,Medium
12.0,86,8.88,36,High
7.59,255,0.61,2,Low
7.0,136,0.38,32,High
6.86,343,0.75,2,Medium
7.66,202,0.05,2,Low
7.34,210,0.65,2,Low
8.45,329,0.5,1,Medium
6.54,255,3.01,5,Medium
6.78,177,0.06,2,Medium
3.68,606,5.73,31,High
7.78,232,0.28,3,Low
7.61,263,0.36,3,Low
7.22,330,3.73,0,Medium
7.44,192,4.41,6,Medium
11.66,123,0.81,4,High
7.29,220,0.36,4,Low
7.58,201,0.6,1,Low
9.24,589,5.94,23,High
7.0,978,9.38,4,High
7.66,244,0.21,0,Low
7.46,259,0.29,0,Low
7.72,243,0.55,4,Low
3.36,57,6.26,3,High
7.59,208,0.43,2,Low
6.81,270,2.46,1,Medium
11.15,705,9.74,40,High
8.23,227,1.01,7,Medium
7.71,251,0.09,0,Low
7.28,214,0.11,1,Low
8.2,273,2.39,3,Medium
7.53,286,1.11,7,Medium
7.15,170,2.1,5,Medium
6.88,220,4.57,5,Medium
7.28,178,2.57,1,Medium
7.6,226,0.11,29,High
7.41,207,3.21,5,Medium
7.0,258,0.5,4,High
6.78,238,3.73,7,Medium
7.18,244,0.13,3,Low
6.58,259,0.34,6,Medium
8.19,201,1.39,3,Medium
7.77,240,0.05,0,Low
7.73,158,0.72,5,Medium
8.67,246,10.03,49,High
7.14,205,0.58,0,Low
7.14,254,0.29,4,Low
7.53,173,1.12,7,Medium
8.48,248,3.16,7,Medium
7.79,160,3.42,2,Medium
7.63,205,12.35,18,High
8.36,208,3.4,7,Medium
7.13,770,0.35,1,High
7.0,247,0.26,3,High
7.54,241,0.27,4,Low
7.76,250,0.7,3,Low
7.0,670,8.81,17,High
7.29,245,0.3,2,Low
6.79,195,0.66,7,Medium
7.66,252,0.71,2,Low
3.76,919,12.35,29,High
7.22,182,3.37,7,Medium
7.13,158,2.13,6,Medium
7.46,577,0.09,2,High
7.55,217,0.55,2,Low
7.43,234,0.86,1,Low
13.07,737,0.25,27,High
7.72,210,0.11,3,Low
7.49,248,0.63,2,Low
7.14,813,0.23,26,High
7.39,166,0.7,6,Medium
7.2,195,4.23,7,Medium
7.0,93,9.86,45,High
7.11,325,0.58,5,Medium
12.58,248,6.13,34,High
7.68,233,0.34,4,Low
7.5,278,2.68,0,Medium
7.16,222,2.94,7,Medium
7.42,255,0.33,2,Low
7.29,239,0.4,1,Low
6.89,285,0.48,0,Medium
12.6,961,0.71,16,High
7.0,119,10.36,32,High
7.49,73,0.34,4,High
7.48,232,0.83,3,Low
7.32,263,0.53,1,Low
7.53,581,0.09,1,High
10.41,89,0.3,48,High
7.38,260,0.61,3,Low
7.32,251,0.68,2,Low
3.24,916,13.62,24,High
8.47,251,1.24,0,Medium
7.51,264,0.63,0,Low
6.56,267,2.63,5,Medium
7.0,148,7.87,49,High
8.4,327,1.24,2,Medium
7.59,242,0.77,0,Low
9.1,132,5.66,47,High
8.25,344,0.27,5,Medium
7.24,217,0.8,3,Low
7.22,255,0.84,4,Low
6.74,298,0.09,1,Medium
7.21,202,0.72,4,Low
1.45,63,8.86,26,High
7.31,112,0.25,44,High
7.26,257,0.18,4,Low
2.51,434,17.48,3,High
7.28,96,15.39,46,High
7.75,291,1.87,5,Medium
7.11,349,1.66,6,Medium
7.65,235,0.81,4,Low
7.45,246,0.44,4,Low
7.35,211,0.64,4,Low
8.45,231,0.24,7,Medium
8.49,201,0.55,5,Medium
2.66,238,0.29,2,High
11.07,230,0.68,3,High
6.59,209,2.09,6,Medium
7.24,212,0.24,0,Low
7.7,870,0.67,4,High
9.95,57,9.27,2,High
7.51,266,0.2,3,Low
7.74,168,1.22,6,Medium
7.3,152,0.65,6,Medium
9.59,652,12.43,36,High
12.95,256,9.25,43,High
1.93,363,5.81,28,High
6.71,154,4.06,4,Medium
8.43,211,3.11,3,Medium
7.29,229,0.03,2,Low
7.33,208,0.57,4,Low
7.11,251,0.84,1,Low
5.62,876,11.1,1,High
7.46,314,2.5,5,Medium
6.84,199,0.32,6,Medium
7.0,203,19.96,3,High
7.91,170,4.47,3,Medium
3.06,740,0.02,31,High
5.23,774,6.19,45,High
7.11,266,0.03,2,Low
7.32,227,0.11,2,Low
7.75,157,3.24,0,Medium
7.59,302,1.67,0,Medium
7.67,205,0.28,1,Low
7.72,264,0.17,0,Low
7.74,235,0.16,4,Low
6.61,173,0.71,6,Medium
12.26,204,0.25,24,High
7.29,268,0.41,4,Low
7.64,250,0.61,3,Low
7.44,217,0.81,1,Low
7.15,267,0.71,1,Low
7.3,60,17.97,34,High
7.74,247,0.33,0,Low
4.43,252,11.09,4,High
7.61,222,0.01,3,Low
8.99,687,0.49,36,High
2.59,844,0.59,34,High
8.11,179,0.53,7,Medium
6.51,200,4.73,1,Medium
8.45,248,2.96,2,Medium
6.51,217,3.9,3,Medium
8.12,242,0.56,6,Medium
7.46,262,0.74,3,Low
8.36,153,3.61,0,Medium
7.46,208,0.89,36,High
7.75,254,0.75,4,Low
6.78,219,4.86,3,Medium
8.16,279,0.85,2,Medium
8.21,253,3.79,5,Medium
8.96,127,11.13,0,High
7.46,207,0.72,3,Low
7.21,259,0.81,4,Low
7.27,930,6.55,12,High
7.64,200,0.88,3,Low
7.48,206,4.57,6,Medium
6.85,266,3.77,6,Medium
7.5,297,0.01,6,Medium
7.76,211,2.96,6,Medium
4.68,723,7.41,32,High
7.25,218,0.75,1,Low
6.56,283,0.74,1,Medium
7.48,260,0.83,0,Low
7.32,69,0.42,8,High
6.12,251,19.86,0,High
7.61,211,0.28,4,Low
6.68,150,0.45,7,Medium
7.16,200,0.09,4,Low
7.56,230,0.27,2,Low
6.57,216,2.79,7,Medium
12.95,241,0.46,10,High
2.16,351,10.59,14,High
7.34,237,6.19,3,High
7.57,210,0.82,3,Low
11.12,217,0.53,4,High
6.65,334,4.13,0,Medium
7.44,187,3.52,4,Medium
7.76,225,0.51,0,Low
7.12,268,0.03,0,Low
7.25,227,0.2,3,Low
6.84,175,0.75,5,Medium
9.62,111,16.5,43,High
4.26,226,0.04,4,High
7.21,316,3.91,3,Medium
7.15,166,4.87,1,Medium
7.96,244,4.61,6,Medium
8.01,234,0.7,5,Medium
3.94,77,0.59,0,High
7.24,268,0.51,0,Low
3.13,911,5.12,14,High
7.0,263,16.79,43,High
13.2,110,11.25,18,High
7.13,216,0.31,0,Low
8.39,212,0.18,5,Medium
7.63,251,3.32,6,Medium
7.26,239,5.77,2,High
7.35,118,0.74,4,High
7.63,965,14.24,1,High
7.3,230,0.67,2,Low
12.53,207,10.52,33,High
7.76,167,2.35,5,Medium
8.46,161,0.19,2,Medium
7.47,222,0.19,37,High
6.78,214,4.12,3,Medium
7.28,225,0.7,1,Low
7.11,165,4.35,5,Medium
7.37,242,0.68,37,High
7.71,995,9.97,28,High
7.12,267,2.63,5,Medium
12.74,252,7.24,35,High
13.22,403,0.47,2,High
6.7,275,0.48,1,Medium
6.65,208,2.4,0,Medium
9.61,449,0.77,0,High
7.33,258,0.67,46,High
1.09,135,14.12,2,High
8.11,157,0.56,5,Medium
7.19,261,0.8,4,Low
7.21,208,14.66,19,High
7.56,266,0.66,0,Low
1.85,875,0.2,4,High
6.56,242,2.21,6,Medium
4.65,243,6.03,13,High
7.43,208,0.3,1,Low
7.33,249,0.27,3,Low
7.48,260,0.45,0,Low
7.6,344,2.81,1,Medium
7.35,243,11.9,25,High
9.68,54,10.58,18,High
7.0,738,17.49,0,High
7.62,247,0.64,3,Low
7.34,231,6.23,4,High
6.68,316,0.06,5,Medium
2.26,362,5.86,13,High
4.83,73,10.67,40,High
7.11,227,0.55,1,Low
7.67,350,4.52,1,Medium
7.53,121,16.66,11,High
8.43,194,1.82,1,Medium
8.13,227,1.09,5,Medium
7.4,225,0.49,3,Low
7.69,251,16.1,30,High
8.41,285,4.35,2,Medium
6.55,340,0.6,7,Medium
8.13,268,0.65,7,Medium
7.58,223,0.14,0,Low
10.49,802,16.7,22,High
7.49,231,0.15,1,Low
7.0,379,13.29,40,High
6.65,230,0.55,5,Medium
3.85,144,17.11,40,High
6.72,150,0.07,3,Medium
7.46,188,0.05,5,Medium
7.48,340,0.11,5,Medium
8.19,292,0.76,5,Medium
6.66,258,3.27,7,Medium
7.44,186,0.89,6,Medium
7.76,238,0.32,1,Low
7.71,229,0.53,35,High
8.37,185,0.83,1,Medium
7.39,287,0.25,5,Medium
9.37,377,0.67,0,High
8.32,342,0.59,7,Medium
7.18,822,0.6,31,High
7.7,242,0.81,4,Low
6.59,220,1.48,5,Medium
7.4,229,0.06,3,Low
7.19,233,0.49,3,Low
7.38,202,0.54,1,Low
9.88,953,15.51,2,High
7.24,258,0.11,4,Low
7.54,238,0.11,41,High
7.72,216,0.58,2,Low
7.34,206,0.05,2,Low
7.6,172,0.62,6,Medium
7.4,220,0.14,0,Low
2.83,923,8.54,23,High
7.46,263,1.26,6,Medium
7.11,318,0.52,5,Medium
7.36,254,0.35,3,Low
8.4,254,2.97,5,Medium
8.14,256,0.08,5,Medium
7.46,230,0.86,3,Low
7.78,208,0.79,4,Low
8.31,265,2.94,1,Medium
7.9,251,0.22,6,Medium
8.19,218,0.62,6,Medium
8.19,308,0.51,5,Medium
7.5,251,0.13,3,Low
8.41,163,0.62,6,Medium
7.24,263,0.15,3,Low
11.48,112,9.97,43,High
7.46,262,0.73,11,High
7.5,677,0.31,8,High
7.75,242,0.44,0,Low
8.47,182,3.06,1,Medium
7.39,214,0.12,27,High
7.26,214,0.42,2,Low
6.77,254,0.76,7,Medium
7.71,297,2.8,5,Medium
7.0,806,15.57,18,High
7.48,234,0.38,0,Low
6.89,253,1.79,6,Medium
7.3,246,0.74,1,Low
7.67,201,0.9,0,Low
10.08,984,14.43,42,High
2.67,877,8.13,23,High
7.32,93,6.94,1,High
7.56,243,0.46,1,Low
7.11,288,0.9,6,Medium
7.69,273,3.34,5,Medium
8.03,228,0.86,7,Medium
7.73,216,0.8,0,Low
7.7,253,0.15,21,High
7.79,238,0.66,2,Low
7.64,96,18.66,46,High
7.46,251,6.31,31,High
7.47,334,3.85,6,Medium
7.95,183,2.21,1,Medium
7.23,226,0.77,4,Low
7.63,229,0.56,10,High
7.58,191,3.1,7,Medium
7.15,261,0.54,3,Low
7.57,223,0.29,4,Low
7.61,102,19.38,0,High
7.48,173,2.47,6,Medium
7.51,221,0.72,4,Low
7.39,214,0.51,18,High
7.0,560,10.54,14,High
8.34,293,1.64,0,Medium
7.98,150,0.63,0,Medium
7.68,212,0.17,0,Low
7.42,274,2.03,7,Medium
7.0,462,11.82,0,High
6.5,161,0.37,6,Medium
2.0,860,0.48,10,High
7.25,260,0.41,0,Low
11.9,777,16.08,24,High
2.16,131,6.75,45,High
7.5,241,0.35,2,Low
7.38,255,0.23,1,Low
7.36,411,0.7,1,High
7.0,913,13.26,48,High
7.41,256,1.67,6,Medium
8.04,242,1.94,7,Medium
7.41,258,0.19,3,Low
7.69,213,0.81,3,Low
7.23,209,0.28,2,Low
8.38,263,4.3,7,Medium
7.37,105,5.84,16,High
7.63,228,0.58,0,Low
7.64,200,0.69,1,Low
7.92,259,2.95,1,Medium
7.41,242,0.27,3,Low
7.7,233,0.24,4,Low
8.24,256,3.84,6,Medium
6.66,224,2.23,1,Medium
7.18,269,0.06,2,Low
7.13,269,10.4,0,High
7.94,258,1.5,4,Medium
7.34,248,0.68,2,Low
7.17,206,0.63,3,Low
7.64,213,0.85,29,High
7.12,202,0.08,0,Low
6.9,307,0.24,5,Medium
7.44,266,0.35,0,Low
6.71,153,0.51,4,Medium
7.12,162,0.71,6,Medium
7.39,231,2.97,7,Medium
6.63,171,0.43,5,Medium
7.62,247,0.16,0,Low
10.6,214,0.82,20,High
7.44,209,0.22,3,Low
7.26,180,2.09,7,Medium
7.21,228,0.11,2,Low
8.25,166,0.19,5,Medium
7.73,183,0.37,6,Medium
6.67,160,0.5,5,Medium
8.36,225,0.04,7,Medium
8.44,270,3.14,2,Medium
7.11,173,4.64,1,Medium
7.44,247,0.54,2,Low
7.15,233,0.25,4,Low
11.94,77,17.8,34,High
7.31,225,2.57,6,Medium
7.68,1000,0.19,0,High
12.92,255,0.36,32,High
7.37,253,0.12,9,High
8.36,251,0.65,7,Medium
7.62,216,0.03,0,Low
6.67,316,0.65,7,Medium
7.64,260,0.19,1,Low
7.23,264,0.27,1,Low
7.24,201,0.09,4,Low
6.65,218,2.39,7,Medium
7.76,259,0.64,3,Low
6.52,259,2.95,4,Medium
8.3,188,4.33,2,Medium
7.68,268,11.62,4,High
7.48,226,0.13,0,Low
7.56,218,0.7,4,Low
7.44,211,0.42,0,Low
6.58,263,4.37,0,Medium
7.71,224,1.47,5,Medium
7.22,220,0.14,3,Low
6.62,265,2.49,6,Medium
2.2,255,19.94,1,High
7.71,225,0.42,1,Low
7.2,205,0.06,2,Low
7.46,134,0.12,2,High
6.51,157,0.63,1,Medium
8.01,255,0.18,6,Medium
7.79,210,0.21,3,Low
3.49,643,0.6,26,High
7.0,269,5.88,50,High
7.0,102,11.72,36,High
7.48,204,0.33,1,Low
8.24,271,0.88,7,Medium
7.75,255,0.39,3,Low
7.51,220,0.83,4,Low
8.41,287,0.04,5,Medium
7.67,254,0.27,0,Low
7.77,220,0.7,3,Low
7.23,130,11.21,3,High
13.88,757,11.99,14,High
7.36,250,0.64,1,Low
10.13,144,15.75,10,High
8.44,155,0.77,2,Medium
7.37,220,0.41,2,Low
9.54,502,9.59,2,High
7.0,136,0.55,0,High
7.18,232,0.46,3,Low
7.56,257,0.49,1,Low
7.66,606,0.42,0,High
6.84,318,3.14,4,Medium
6.62,220,3.04,2,Medium
12.88,216,14.97,10,High
7.92,255,4.66,2,Medium
7.37,784,0.79,2,High
6.6,236,1.3,6,Medium
11.03,744,5.44,32,High
8.22,270,3.62,5,Medium
7.0,999,0.35,4,High
7.33,314,0.48,5,Medium
7.32,200,0.68,1,Low
7.42,203,0.52,3,Low
7.47,324,1.45,7,Medium
6.69,310,1.06,2,Medium
8.12,185,0.75,5,Medium
10.71,510,17.36,8,High
1.94,125,0.23,4,High
7.24,215,16.82,4,High
7.76,179,2.05,2,Medium
7.19,264,0.88,49,High
8.06,186,0.83,0,Medium
7.32,218,0.85,3,Low
13.76,73,16.66,32,High
7.25,206,0.49,2,Low
6.69,199,0.29,7,Medium
7.12,246,0.27,4,Low
7.62,227,0.76,0,Low
7.7,223,0.48,4,Low
7.45,248,0.21,4,Low
7.13,193,3.53,6,Medium
7.67,248,0.58,2,Low
7.18,239,0.38,2,Low
3.15,68,0.37,45,High
7.48,256,0.6,4,Low
7.17,66,0.57,4,High
6.65,267,4.51,6,Medium
8.37,235,1.56,1,Medium
7.77,252,0.3,1,Low
7.0,784,5.19,1,High
8.3,349,0.83,7,Medium
7.94,269,0.81,6,Medium
7.58,773,0.81,2,High
7.37,206,0.24,0,Low
7.0,950,5.23,25,High
7.0,106,14.02,8,High
6.9,246,4.66,4,Medium
6.57,204,3.33,5,Medium
7.7,269,0.62,0,Low
7.58,209,18.24,19,High
7.72,54,0.37,4,High
7.16,253,5.13,9,High
7.73,218,0.15,3,Low
6.76,183,3.43,1,Medium
7.0,383,6.8,0,High
8.0,179,0.72,3,Medium
7.47,207,0.74,3,Low
7.28,248,0.34,0,Low
7.14,268,0.54,1,Low
8.97,606,13.9,34,High
7.75,258,0.19,0,Low
7.0,742,13.13,23,High
6.55,242,0.29,6,Medium
7.61,263,0.87,0,Low
7.65,114,9.89,2,High
8.23,164,0.48,5,Medium
7.52,220,0.66,3,Low
6.72,301,0.14,5,Medium
7.59,240,0.7,3,Low
8.08,258,1.14,6,Medium
7.72,206,0.73,4,Low
7.47,269,0.11,39,High
7.0,149,9.71,46,High
7.49,266,0.62,4,Low
7.0,86,13.01,11,High
7.5,265,0.08,0,Low
8.02,240,0.48,7,Medium
7.12,239,19.17,9,High
8.14,332,0.72,4,Medium
7.67,163,0.23,5,Medium
7.21,256,4.05,5,Medium
7.27,213,0.72,3,Low
10.3,810,11.72,11,High
6.85,180,4.54,2,Medium
7.0,78,8.34,16,High
7.43,398,5.92,48,High
7.64,235,0.27,3,Low
7.71,226,0.14,4,Low
7.47,254,0.84,2,Low
7.75,236,0.34,4,Low
8.27,338,0.48,4,Medium
9.71,91,14.53,24,High
8.27,263,3.93,0,Medium
7.15,715,8.55,14,High
7.4,212,8.98,1,High
7.26,151,1.26,1,Medium
5.96,544,12.03,11,High
7.61,215,0.19,1,Low
7.0,230,5.59,2,High
7.2,262,0.06,4,Low
7.51,264,0.75,1,Low
7.63,239,0.6,1,Low
7.51,169,1.51,4,Medium
7.29,205,0.62,4,Low
7.55,265,0.43,3,Low
8.14,152,0.16,4,Medium
7.33,217,0.09,0,Low
7.67,201,0.55,2,Low
7.44,254,0.01,23,High
10.0,209,16.21,32,High
7.15,248,0.88,4,Low
7.54,241,0.77,19,High
6.66,329,0.61,6,Medium
7.24,292,0.82,5,Medium
6.81,346,0.11,7,Medium
7.68,250,0.72,3,Low
7.99,231,0.79,5,Medium
8.63,229,13.56,31,High
13.29,227,0.77,2,High
8.24,200,4.55,7,Medium
7.69,217,0.53,1,Low
7.7,249,0.05,3,Low
7.79,248,0.88,1,Low
7.56,228,0.03,0,Low
8.4,328,0.71,2,Medium
7.62,270,0.64,3,Low
7.51,231,0.86,1,Low
7.25,266,0.42,4,Low
7.32,251,0.21,4,Low
7.64,261,0.02,3,Low
8.22,326,0.75,6,Medium
7.62,228,0.59,3,Low
8.21,154,1.64,3,Medium
7.37,253,0.12,3,Low
7.34,223,0.73,3,Low
7.31,237,0.38,3,Low
7.12,222,0.02,2,Low
7.65,242,0.65,1,Low
7.41,202,0.27,3,Low
7.0,963,0.41,4,High
7.35,241,0.11,4,Low
7.42,203,0.78,2,Low
7.73,326,4.56,5,Medium
7.3,265,0.37,4,Low
